Logitech Wireless Keyboard and Mouse Combo,$17.88,4.5,1155 ratings,"Be more productive in a variety of situations with the Logitech Wireless Keyboard and Mouse Combo. This set contains a quality mouse and keyboard that's easy to transport for any on-the-go needs for business or personal use. The cordless mouse and keyboard are simple to use, lightweight, and are the same sizes as a more permanent solution. This space-saving design ensures that you won?t need to deal with cords and wires while on the go. This keyboard and mouse combo is available in a variety of colors to best suit the space's decor or user's preferences. Whether needing to do a presentation in an unfamiliar room or needing to be mobile for work, the Logitech Wireless Keyboard and Mouse Combo will help get the job done.   Logitech Wireless Keyboard and Mouse Combo: Perfect for travel or non-permanent situations Wireless keyboard and mouse set is lightweight Help with productivity in business or gaming Standard keyboard size for easy typing Available in multiple colors"
"Apple Lightning to USB Cable, 3 ft",$3.99,3.8,627 ratings,"Get more from your devices with the Apple Lightning to USB Cable, 3' It's a simple way to replace a factory original charger that's lost or worn out, or just keep it on hand as a spare. The design is compatible with most iPhone and iPod models for your convenience. The compact size fits easily in a handbag or backpack, so it's a worthwhile choice for travel and commuting. This Apple 3' Lightning cable is also simple to store when not in use. Measuring 1m, it's the same length as most factory originals and offers plenty of length to configure your space easily. The white jacket keeps the interior cabling protected and offers a sleek appearance that will complement your other gear. It's quick and easy to use. Simply plug it in to charge your device. This iPhone Lightning cable can also sync your electronics with a Mac or Windows PC, for transferring files like photos, music and videos.  Apple Lightning to USB Cable: Use to charge and sync your iPhone or iPod with your Mac or Windows PC Apple 3' Lightning cable is compatible with most iPhone and iPod models Small size for convenient carrying Easy to store when not in use Quick and easy-to-use iPhone Lightning cable Transfer files like music, photos and videos between device and computer Length: 1m"
Straight Talk $45 Unlimited 30-Day Plan e-PIN Top Up (Email Delivery),$45.00,4.4,1567 ratings,"e-PIN Top Up is the most flexible option for adding a plan or minutes to your mobile account. You will receive an email with redemption instructions and an electronic PIN upon purchase. Use at your convenience or as a gift. What you’ll get:  Straight Talk’s $45 Unlimited 30-Day Plan includes unlimited talk, text, and data with the first 25GB of data at up to 4G LTE† speeds, then 2G.* Nationwide coverage on America’s largest, most dependable 4G LTE† networks. No contract. How it Works: After purchase, you will receive a confirmation email from Walmart.com within minutes of successful order placement.  A second email from walmartonline@e-deliverygroup.com will contain your electronic PIN.  If you have issues receiving your email, go to the following webpage to access your purchase: www.walmart.e-deliverygroup.com. Enter your email address used to order on Walmart.com, your billing ZIP code and your Walmart.com Order Number (your order number can be found on your confirmation email from Walmart.com or in your Account Order History on Walmart.com). Keep in mind: To view frequently asked questions about this product visit www.walmart.e-deliverygroup.com/faq.html There are no returns or refunds on electronically fulfilled PIN numbers. Walmart.com is not responsible for stolen or misplaced PINs.  Pins are usually delivered in minutes or, at most, within 24 hours depending on additional order validation required by WalMart or your Credit Card company. Terms and Conditions:  Purchase and use of this Service Card is subject to the latest Terms and Conditions of Services at www.straighttalk.com/terms-and-conditions which are subject to change without prior notice. Straight Talk reserves the right to terminate your service for unauthorized or abnormal usage. *At 2G speeds, the functionality of some data applications such as streaming video or audio may be affected. †To get 4G LTE speed, you must have a 4G LTE capable device and 4G LTE SIM. Actual availability, coverage and speed may vary. LTE is a trademark of ETSI.  ∆By texting keywords to 611611 you are consenting to receive response messages. Message and data rates may apply. Privacy Policy: st-w.co/privacy *Please refer to the latest Terms and Conditions at www.straighttalk.com/terms-and-conditions"
Straight Talk LG Journey Smartphone,$39.88,4.2,98 ratings,"Get the new LG Journey on Straight Talk! With Straight Talk, you get access to the largest most dependable 4G LTE networks with no contract . Carve your own path with the LG Journey? LTE. This smartphone is stocked with all the essentials including feature-packed cameras, a vibrant display, and handy AI tools. Wherever you go, whatever you do, this pocket-sized device will keep up every step of the way. Key Features:  5.45"" HD+ FullVision Display 5 MP Front Camera and 8 MP Rear Camera Dynamic Photos with HDR Long-Lasting Battery - 3,000 mAh"
"Acer 315 15.6"" Celeron 4GB/32GB Chromebook, 15.6"" HD Display, Intel Celeron N4000, 4GB LPDDR4, 32GB eMMC, Protective Sleeve, Chrome OS - CB315-3H-C2C3",$272.88,4.6,1112 ratings,"Google Classroom Compatible! Acer Chromebook 315 CB315-3H-C2C3 - 15.6"" - Celeron N4000 - 4 GB RAM - 32 GB eMMC - 15.6"" HD Intel Celeron N4000 4GB LPDDR4 32GB eMMC 2020 Model"
JBL TUNE 115TWS True Wireless In-Ear Headphones - Black,$49.95,null,Write a review," JBL TUNE 115TWS True Wireless In-Ear Headphones  Immerse yourself in your world. Whether you’re tuned into music or taking calls, you’ve got no cords to hold you back. Dual Connect lets you use either earbud, or both, anytime you want, in stereo or mono mode. Your favorite artists sound incredible with JBL Pure Bass. With up to 21 hours of battery life and a comfortable fit, you can keep the fun going all day and night. And if you miss the world, you can take and end calls or talk to your voice assistant using just a finger. Simple as that! Features: Feel the Bass JBL has powered festivals and concerts around the world for decades. Now let JBL bring your own world to life with incredible Pure Bass sound Listen for Longer With up to 21 hours of battery life (6 hours from earbud and 15 hours from the case), you can listen all day and all night and get a top up with just 15-minute charge. Keep your own private concert going for as long as you can keep up Either Ear, or Both Left ear, right ear, both ears? The power of Dual Connect gives you the choice to seamlessly enjoy music or make calls with either one or both buds. And the battery life keeps up with you, as you can keep one earbud charging, while using the other one Comfort-fit Experience total freedom with the True Wireless JBL TUNE 115TWS earbuds but in full comfort. Snug-fitting they come with 3 sizes of eartips to fit your size Hands-free calls and access to Voice Assistant Take and end calls or talk to your voice assistant using just a finger. Simple as that! Specifications: Technical Driver Size: 5.8mm / 0.23"" Dynamic driver Frequency Response: 20Hz – 20kHz Sensitivity: 96dB SPL @ 1kHz 1mW Maximum SPL: 96dB Microphone sensitivity: -38dBV/Pa @ 1kHz Impedance: 14 ohm Bluetooth transmitter power: <12dBm Bluetooth transmitted modulation: GFSK, π/4 DQPSK, 8DPSK Bluetooth frequency: 2.402GHz – 2.480GHz Bluetooth profile version: A2DP 1.3, AVRCP 1.5, HFP V1.7 Bluetooth version: 5.0 Headset battery type: Lithium-ion battery (85mAh/3.7V DC) Charging case battery type: Lithium-ion battery (850mAh/3.7V DC) Power supply: 5V 1.0A Charging time (headset & charging case):  Music playtime with BT on: 5 hrs What's In The Box: JBL TUNE 115TWS 3 sizes of eartips (S, M, L) Type-C USB charging cable Charging case 1 x Warranty / Warning (W / !) 1 x QSG / Safety Sheet (S / i) Approximate Weight: Unit: 0.16 lb Shipping: 1 lb Warranty Information: Manufacturer Warranty (authorized online retailer): One Year Parts and Labor      JBL Pure Bass Sound 8-Hour Battery Life With Speed Charge Multi-point Connection Magnetic Cable Management 4 Ohm Impedance"
"Apple Watch Series 6 GPS + Cellular, 40mm Graphite Stainless Steel Case with Graphite Milanese Loop",$748.89,null,Write a review,"Apple Watch Series 6 lets you measure your blood oxygen level with a revolutionary new sensor and app. Take an ECG from your wrist. See your fitness metrics on the enhanced Always-On Retina display, now 2.5x brighter outdoors when your wrist is down. Set a bedtime routine and track your sleep. And with cellular service, you can go without your phone. Itâs the ultimate device for a healthier, more active, more connected life. GPS + Cellular model lets you call, text, and get directions without your phone Measure your blood oxygen with an all-new sensor and app Check your heart rhythm with the ECG app The Always-On Retina display is 2.5x brighter outdoors when your wrist is down S6 SiP is up to 20% faster than Series 5 5GHz Wi-Fi and U1 Ultra Wideband chip Track your daily activity on Apple Watch and see your trends in the Fitness app on iPhone Measure workouts like running, walking, cycling, yoga, swimming, and dance Swimproof design Sync and stream music, podcasts, and audiobooks Pay instantly and securely from your wrist with Apple Pay Set up an Apple Watch for family members who donât have an iPhone using Family Setup High and low heart rate notifications and irregular heart rhythm notification Built-in compass and real-time elevation readings Can detect if youâve taken a hard fall, then automatically call emergency services for you Emergency SOS lets you get help from your wrist International emergency calling from your watch watchOS 7 with sleep tracking, cycling directions, updates to Siri, and new customizable watch faces"
Canon PIXMA MG2522 Wired All-in-One Color Inkjet Printer,$34.88,3.9,2414 ratings,null
"Lenovo 81JW0001US Chromebook S330, 14"" HD Display, Mediatek MT8173C CPU 4GB RAM, 32GB eMMC SSD, Chrome OS, Black",$239.00,4.1,476 ratings,"Google Classroom Compatible! Chromebook is a computer for the way the modern world works, with thousands of apps, built-in virus protection and cloud backups. It is secure, fast, up-to-date, versatile and simple. Built for speed and simplicity: Starts in seconds and stays fast throughout the day. More up-time between charges: With up to 8 hours* of battery life, you can surf, work or play from anywhere. (*All Chromebooks come with at least 8 hours of battery life.) Security from the start: Automatic updates and backups offer protection and peace of mind Do more with apps: Entertainment or productivity, all your favorite apps are available in the Google Play store. Designed with you in mind: Hardware from premium manufacturers with innovative and sleek designs. Set digital ground rules with Family Link: Parents can manage their family's apps and websites, set screen time limits, and even remotely lock devices. This item was manufactured in 2018. Discover your Chromebook: Lenovo Chromebook S330 14.0"" Notebook Chrome OS MediaTek MT8173c Quad-core processor 4GB Memory 32GB EMMc SSD Storage Business Black MFG Year: 2018"
Apple AirPods with Charging Case (Latest Model),$129.00,4.7,4178 ratings,"NOTE: This model contains the standard lightning charging case, NOT the wireless charging case. The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now feature hands-free access to Siri using just your voice. And up to 3 hours of talk time on a single charge. Key Features Automatically on, automatically connected Easy setup for all your apple devices(2) Quick access to Siri by saying ""Hey Siri"" Double-tap to play or skip forward New Apple H1 headphone clip delivers faster wireless connection to your devices Charges quickly in the case Case can be charged using the lightning connector Rich, high-quality audio and voice Seamless switching between devices Listen and talk all day with multiple charges from the Charging Case(3). Condition : New Legal  (1)Battery life depends on device settings, environment, usage, and many other factors. (2)Requires an iCloud account and macOS 10.14.4, iOS 12.2, or watchOS 5.2 (3)Battery life varies by use and configuration. (4)Requires latest version of iOS. (5) Battery life depends on device settings, environment, usage, and many other factors. (6)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. Testing consisted of full AirPods battery discharge with a cellular phone call until the first AirPod stopped playing call audio. The drained AirPods were charged to 100 percent, then the cellular phone call was restarted until the first AirPod stopped playing call audio. This cycle was repeated until both the AirPods and charging case were fully discharged. Battery life depends on device settings, environment, usage, and many other factors. (7)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. Testing consisted of full AirPods battery discharge while playing audio until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (8)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then audio playback was started until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (9)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then a cellular phone call was started until the first AirPod stopped playing call audio. Battery life depends on device settings, environment, usage, and many other factors."
